	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_portal
12x40	1126.3824750057147	268.85773189551384	1395.6881026934348	535.5984316631257
13x39	1118.2067876739077	213.18072145482557	1351.5105696959974	500.2947331323805
14x38	1112.2953025163777	178.7015388853715	1282.43270388742	470.6506560071916
14x40	1029.7689449580423	154.85373744278826	1291.1051390185075	422.32319377462557
15x37	1110.8727424867348	178.60025195950846	1211.7248243722665	451.5741910251291
15x39	1026.4379766941593	100.65743887065652	1242.5875099967807	391.9873977566113
16x36	1119.5281952679886	211.59343089992163	1148.9106927868675	452.49771270140116
16x38	1030.307730729028	100.79295610309246	1168.0435009022567	372.3691985113696
16x40	939.7102638579614	48.3712724662067	1190.326921479977	312.212395653984
17x35	1137.6365720211352	270.41776938655454	1086.326180297612	471.56226524182324
17x37	1035.5239881335438	141.23855705861607	1100.2566655103708	368.3747141159391
17x39	938.049657534184	10.78702924812935	1127.8412831600021	283.98232339355206
17x41	854.5721561108807	97.26134895219202	1109.2212448380167	240.2289949194308
18x36	1054.9705967466582	204.5999999999999	1041.6370577125222	389.3047135599567
18x38	950.2002420542733	76.32889361179002	1058.802389494848	283.11993924836844
18x40	854.1850970369359	45.81899169558433	1092.7397585884753	206.2682234373484
18x42	771.8743744936734	166.13082194463516	1031.7586200269905	184.41705452587607
19x35	1076.305700068526	273.46546399865565	979.0902716297409	422.43882397336534
19x37	967.799819177499	149.70734784906168	993.4626767020491	303.6591674888145
19x39	866.9121524122265	51.95267076869109	1025.2530809512352	200.1116688251834
19x41	771.6754304757924	121.99987704911875	1013.4392779046998	133.48172159513052
19x43	687.3858668899148	243.26637663269477	951.9758032639273	147.67575968993688
20x34	1102.154349444759	318.98716275110496	920.4164329258793	467.18691120364235
20x36	992.1593269228484	232.21268268550693	927.8086710092766	344.66814474215613
20x38	882.0833350653439	135.48730567842873	949.3976037467127	221.44572698519147
20x40	778.7959232045324	120.14611937137217	990.9915690862359	111.93520447115819
20x42	685.4795766468901	207.01171464436518	931.3416397863889	71.64530689445047
21x35	1019.406028037896	233.51498881228142	866.0711575846408	396.1050996894636
21x37	906.3629570983138	157.74919968101253	881.7063059772227	269.7947553233754
21x39	795.1647124967253	152.5133436785122	916.8282936297286	140.94438619540676
21x41	696.3537750310539	198.72236914851854	919.8233417347049	29.49203282244185
21x43	601.4176917916532	290.8288843976817	851.9845303759921	70.50134750485286
22x34	1053.245977917789	257.72716193680475	807.2075879227101	457.9282585733272
22x36	936.8744046028794	147.77432117928996	816.7724591341213	331.16287533478135
22x38	826.8826397984176	91.30443581776271	841.1352447733954	210.22297686028512
22x40	711.4030151749425	134.08523408638268	886.4223880295443	79.55029855380782
22x42	607.1415403347063	248.49758550134862	834.4727976393236	9.01387818866016
22x44	515.2001940993422	371.2958927863331	771.8450880843901	130.0678284588471
23x33	1094.2653882856753	305.9574153374943	753.7285585673397	504.9407291950213
23x35	973.5461365544004	180.03077514691728	753.0523753365363	400.8140217108177
23x37	855.7241670071024	61.76285291338112	769.9118456031182	278.40950055628457
23x39	738.6634754744541	51.04243332757555	811.0466879286295	155.14615689729467
23x41	626.2448802185928	169.66216431485273	826.9410196622246	56.29253947016422
23x43	521.1379567830384	296.9228350935644	751.2666437424198	94.97036379839778
23x45	432.22000185090883	421.3102538510073	694.5570746886101	202.52834369539525
24x34	1016.4694437119098	240.35334405828405	692.7104229041164	431.13516442062553
24x36	893.8722280057704	113.34354855923651	702.278121544449	353.7017953022009
24x38	773.7691968539456	0.4123105625618322	733.896021245517	237.96590091859787
24x40	655.4435521080362	104.43299287102711	787.3926911014605	138.10231714203783
24x42	545.107879231258	226.81181627066982	743.8714942784135	112.93626521184427
24x44	435.4529595719837	359.71277430750246	669.2993948899099	180.70716643232538
24x46	344.0530482352974	385.7109021015609	614.1111462919395	285.9952796813264
24x50	251.57889418629696	450.26074667907716	578.199567623498	528.1699915746825
24x52	272.83933000943995	525.9670141748437	600.8365002228145	652.0295238714274
25x33	1064.4408344290441	312.4386179715946	638.3786415600068	397.3649330275632
25x35	940.9219733856787	191.09306633156518	638.5849669386213	364.15952548299487
25x37	820.1991282609364	87.06669857069343	657.3116536316697	326.1095061478582
25x39	688.3617435622058	76.02032622923963	702.3118182118252	226.08956189970394
25x41	571.7502689111741	184.0662109133559	740.7261099758803	167.63045665988017
25x43	458.53668337440547	303.24229586256627	657.1884737272861	189.70843418256354
25x45	351.0226345978275	339.51242981664143	588.4420872099478	265.52907562073136
25x47	258.7820897975747	331.0621844910712	539.8284634955812	370.4631830560225
25x49	199.72413474590365	366.2236065575236	517.2553817989715	484.3582661625589
25x51	199.12902852170998	440.28464656401565	528.3808948097953	606.4437071979562
25x53	254.88683763584194	534.1993073750659	568.9960456804599	728.5863709952312
26x32	1126.9485569448143	404.9284504699562	580.9559793994723	378.54253393773325
26x34	1000.8648310336416	289.494058660968	565.6124203021006	313.08818246621837
26x36	874.7144505494349	183.256023093376	576.5682700253285	291.9937841804172
26x38	748.5646598657992	112.27132314175321	613.7221276766874	319.86942648524587
26x40	623.4917321023592	155.45912646094484	672.3689017198816	255.24486282783457
26x42	499.9008401673274	231.8207281500082	657.3173130231697	233.11810311513787
26x44	385.4008951728056	304.5646893518681	575.6921486350146	269.852644974994
26x46	267.0389484700685	262.3440489128731	502.8637986572505	352.28085386520814
26x48	171.1622621958472	275.17216428992253	459.20770899452464	452.08176251647245
26x50	125.50896382330626	340.1301221591525	451.67078718907646	561.4770698790824
26x52	155.32327578312285	433.3602658297137	477.50426176108635	679.3200423953352
26x54	253.27301474890692	543.7852701204769	535.8832148892144	804.0455335365033
27x33	1049.9460176599557	373.33288095210696	514.3036457191411	293.76017429188715
27x35	930.6290883053244	269.24876972792265	510.78459256324464	240.15599097253408
27x37	803.3945792697381	187.06963943943452	537.7622615989335	245.06295109624367
27x39	675.9218445944766	168.61891946042113	589.8538293509673	300.62059144376667
27x41	549.1802800538269	154.77525642039802	665.7790774724	293.43104811863395
27x43	422.82224397493525	220.57844409642578	570.5666043504469	303.16934211757007
27x45	299.3585809693786	222.43776657753054	485.1389079428694	358.14125704810954
27x47	183.25427689415568	206.07554440059096	425.07520511081304	437.3654421647877
27x49	88.20459171721158	255.5457884606986	393.56810084151897	537.1871647759282
27x51	75.97183688709934	346.12673979338877	405.35456084766105	641.5984102224696
27x53	165.470390100465	456.1868586445692	452.7280088529978	758.5636756396924
27x55	286.50870841913337	573.1302120809894	527.6645146302714	878.5697695687008
28x32	1089.5899458053016	427.8682624359979	466.886763573353	296.3043199145095
28x34	971.1114714593788	330.0589189826567	452.4655677507404	211.58660165520863
28x36	850.5999823653885	248.7334517108622	465.7689663341685	178.4884590106596
28x38	735.4057519492214	148.91212173627773	507.9949015492184	215.92873824482015
28x40	607.3081590099046	95.19768904758115	578.4000345781457	305.00163933985687
28x42	478.4239542497844	132.93637575923302	583.1628246039006	350.5422656399655
28x44	351.2089406606838	215.01423208708735	485.15968505225135	378.11389818413204
28x46	224.62299526094804	148.72420784794917	403.022939793754	440.0560077990075
28x48	100.08806122610217	172.06981141385606	348.06151755113626	524.5794696707069
28x50	11.10180165558726	262.3189852069423	337.5681412692851	621.072660805481
28x52	87.11945821686479	374.95946447582855	372.66097193025183	729.581798018564
28x54	215.01778996166834	495.68704844891835	444.5517405207185	844.1679039148553
29x33	1015.1597164978524	346.61686340973085	401.0663910127599	213.99357466989517
29x35	895.8041973556494	247.77602789616245	399.38698025849567	134.09161047582344
29x37	771.4686837454905	163.70073304661742	429.19870689460373	135.37773081271524
29x39	648.3933142776842	62.7063792608056	498.3531779772254	224.51567873981554
29x41	535.0456148778344	46.1238549993384	581.2235456345518	333.63964093015085
29x43	415.248756771167	160.45351351715573	499.1756504478155	416.10206680573003
29x45	285.17498137108726	128.34005610096918	398.47505568102974	457.3206424381042
29x47	159.00345908186995	92.67416036846502	319.9739051860319	524.8463584707437
29x49	35.67197779770568	178.0373275467815	279.31575322562793	610.5594893210654
29x51	32.72323333657609	291.973646071011	293.2582650156683	707.1401629097304
29x53	150.06002132480197	416.07140012262306	358.2691865064588	813.8249258900837
30x32	1058.8511746227607	377.3240119578927	358.1156377484791	190.78419745880416
30x34	933.2738290555454	258.31113022864474	339.114199053947	124.64124517991604
30x36	808.6554890681197	155.2227431789553	360.1451096433212	67.9536606813788
30x38	686.4315333665842	76.68930825088984	418.67081340833874	144.14662673819322
30x40	564.127086745531	0.4123105625619425	504.93521366607	263.67777684135615
30x42	447.8304254960798	102.21296395271986	521.2102167072321	387.9869714307427
30x44	342.94630775093634	156.56107434480631	413.5381119074757	482.6070554809576
30x46	225.5020399020813	41.49180642006295	310.8835312460276	537.738384346887
30x48	115.26634374352295	101.00460385546799	238.8809954768271	612.392627323354
30x50	55.83421889844976	223.87018559870845	227.24757424447907	699.4493977408232
30x52	120.70037282461094	350.64822828584226	283.1801193586866	796.3520452664139
31x31	1111.9685696997017	426.7642206183645	331.0385173963898	168.6359985293767
31x33	985.9615915440114	301.1190130164483	288.2017695990082	119.17826983137458
31x35	860.2319977773437	177.8282598464034	286.0658840197479	41.893794289846696
31x37	734.0844229378524	69.07922987410893	333.4491565441425	61.04703104983912
31x39	607.5361799925992	0.7810249675905956	418.96850716969175	190.0331813131592
31x41	484.8538130199656	79.13545349588918	519.9511707843342	317.25009062252457
31x43	365.64705659966637	180.10210992656408	439.7173751399865	444.8842208934818
31x45	252.67570124568743	82.88793639607641	323.9126579805116	561.6475852347273
31x47	164.9746950292676	25.703112651972987	224.97299837980512	620.4493935850052
31x49	117.35676375906074	152.90327007621528	170.57142199090677	694.5582840914074
31x51	130.7449807832027	277.9022310093967	196.02665635060964	783.745015933116
31x53	206.7986943865947	404.5077255133703	286.9489501636136	882.0333893906743
32x32	1041.6064563932005	358.50022315195287	250.75647548966674	86.3145989969249
32x34	914.1513332047381	230.50002169197296	223.2618641864301	38.557230190977066
32x36	787.1016262211632	102.6039472924896	252.81212391813781	14.288806808128083
32x38	660.6080986485102	0.5099019513592606	331.4927751852219	130.66545067461414
32x40	533.2142627499754	65.29050466951551	434.97201059378534	256.248804875262
32x42	405.7152326447701	165.69806878778056	480.66854484145296	385.174830434181
32x44	285.87060009731675	153.5838533179839	360.51352263126	509.57236973760655
32x46	169.1387891644016	29.700673393039246	241.60449085230155	637.5686080728883
32x48	84.53762475962986	78.68424238689725	138.68673332370324	704.8042352313159
32x50	111.8935654986467	206.93711605219596	116.50394843094344	782.1748973215649
32x52	201.11514115053612	334.497384145228	201.89328864526442	870.2731180497308
33x31	1102.6556171352865	426.78988975841486	238.02186874318917	85.56290083909022
33x33	974.1434237318445	299.7025358584743	175.6200728846218	8.414867794564207
33x35	845.6230424958864	174.27945948963674	176.81213193669697	2.707397274136469
33x37	718.4433171795808	68.17917570636963	245.69574680893427	95.908289527027
33x39	590.0977037745528	73.44725998973715	350.8203243827244	212.73575157927752
33x41	463.0943748308759	150.0133327407937	466.7172591623329	331.4555777174374
33x43	334.6932476163804	224.83053618225404	409.1666775288522	456.0639977020773
33x45	208.8734784504722	99.80045090078474	283.73707900096497	580.5822336241441
33x47	85.86617494683209	19.76866206904263	160.33527372353208	706.3439672001172
33x49	28.622543562723422	146.42831010429643	55.9128786595718	787.7748726635041
33x51	115.71905633904923	272.63547091308595	116.06937580602408	868.1325359644117
33x53	235.93867847387813	396.77230246074396	235.59766552323907	954.8352004403692
34x32	1044.9643869529718	382.8336061528561	159.3303800284175	10.87060255919584
34x34	918.3348463387413	262.95530038392434	114.31662171355481	31.829074758780074
34x36	792.7669140422042	159.1080764763373	153.47371110388906	78.08316079667907
34x38	657.5207373155614	105.60075757304053	264.23118665290076	175.75187054481148
34x40	533.5372245682579	147.07810850021204	380.4294546956113	287.69318726726965
34x42	406.18325913311594	228.93675982681347	479.02822463817307	403.2359606979517
34x44	274.5541840875855	175.44001823985286	347.4069659635508	526.3869299289264
34x46	149.9969666359957	67.9491721803881	222.56075574997493	647.6192477065517
34x48	22.902619937465584	97.12224256060014	93.74182631035075	772.7598139137415
34x50	31.803930574694878	209.8320518891241	30.83650434144589	861.9588679281629
34x52	159.70050093847573	334.65930436789023	158.70617505314684	942.5193101470126
35x31	1110.601895370254	409.7811245042895	160.45675429847137	47.40010548511478
35x33	985.2862375979886	321.3415161475401	77.83938591741295	44.024652184884225
35x35	857.3249383985046	243.92181124286535	68.91044913509118	112.10374659216365
35x37	730.1919199772071	175.34662813980796	178.92355909717415	163.02834109442466
35x39	603.3442218170321	170.60553918322816	302.724709926362	254.47838808040262
35x41	474.9497868196173	227.67718374927279	430.596446803733	367.7484194391597
35x43	343.3262296999749	253.11756161910205	414.35311028155667	485.57110704818524
35x45	223.76308900263209	153.32684044223942	292.35717880701986	604.7524452203567
35x47	98.76401166416825	108.21612633983935	165.55582140172524	727.0959565284354
35x49	24.374166652421575	184.1762742592003	69.46437936093587	848.4532397250897
35x51	113.50295150347462	294.2579140821879	116.07032351122365	949.6782191879525
36x30	1181.4326430228682	436.1562678673779	201.42465092435927	126.9192262819153
36x32	1052.2167504844238	324.39033586098077	76.83287056982826	51.90077070718726
36x34	926.2649297042395	232.6110917389795	3.5383612025908215	130.2026113409406
36x36	796.9264520644294	173.7664236842085	110.64343631684658	187.69595094194275
36x38	674.7757034748657	199.81503947400944	233.40619100615143	244.42923311257206
36x40	548.9737698651912	246.9028148887734	361.4863759535068	340.24285444370486
36x42	425.4654157507987	255.28106079378463	488.68519519216056	451.1181885049639
36x44	301.3865624078153	237.31215729498555	368.04056841603744	569.8844268796964
36x46	183.68957509886067	171.74009432861038	251.32739603950853	685.2671449879967
36x48	88.03073326969403	185.95378458100825	151.56915913206097	803.6165814615824
36x50	103.45781749099537	266.66368331664563	121.07154909391433	923.2327550515097
36x52	191.52485478391606	371.102640788233	196.1202947172988	1030.5709922174215
36x54	312.76908414995256	493.8336764539253	314.1854547874553	1118.3245056780258
37x31	1123.1906205092707	355.3814429595332	133.17796364263884	115.87307711457431
37x33	995.8836578637085	240.94036606596242	9.972963451251669	124.19605468773966
37x35	875.4277183183084	151.19024439427284	35.70000000000027	211.91764909983326
37x37	749.5846850089719	124.18373484478549	164.20048720999608	257.595031007976
37x39	627.5136731578046	191.78636552163968	292.503350408162	333.9428244475393
37x41	503.5110326497326	185.59191792747836	422.34033669541907	427.9660734217143
37x43	378.4846760438261	242.3354080608113	445.7621002283617	535.548737277944
37x45	265.9276969403527	244.15228854139403	333.6698068450307	648.6363696247691
37x47	172.66004170044693	227.2194753976871	237.91782194699098	768.3946186693398
37x49	133.23573094331752	265.66098697400065	178.67389288869296	880.6122642798022
37x51	186.74048837892684	351.9338148004539	199.21096857352038	1000.6011243247732
37x53	278.85946281236403	457.5012568288751	283.9922534154765	1116.705601311286
38x32	1067.3923037009401	267.7168840398376	96.9893293099814	168.26684165336943
38x34	944.0572546196546	149.3509290228885	3.114482300479867	215.1318200545892
38x36	820.966759375798	61.4135164275746	105.47615844350835	298.04499660286217
38x38	702.8601283328	109.07777042092485	230.1920068117049	347.4572779493906
38x40	579.347089403235	129.57642532497925	360.50499303060985	424.65450662862423
